Trade #,Trade ID,Entry Date,Entry Time,Exit Date,Exit Time,Direction,Entry Price ($),Stop Price ($),Target Price ($),Exit Price ($),Position Size (ETH),Gross PnL ($),Fees ($),Net PnL ($),R-Multiple,Exit Reason
35,BT_0034,2025-04-13,00:00:00,2025-04-14,00:00:00,LONG,2012.25,1900.00,2100.00,1961.83,0.1000,-32.93,0.04,-32.97,-0.86,Stop Loss
36,BT_0035,2025-04-16,00:00:00,2025-04-17,00:00:00,SHORT,2096.44,1900.00,2100.00,1651.27,0.1000,-22.58,0.04,-22.62,-0.60,Stop Loss
37,BT_0036,2025-04-19,00:00:00,2025-04-20,00:00:00,LONG,1938.62,1900.00,2100.00,2226.71,0.1000,-19.94,0.04,-19.98,-0.54,Stop Loss
38,BT_0037,2025-04-22,00:00:00,2025-04-23,00:00:00,SHORT,2164.41,1900.00,2100.00,1824.22,0.1000,-19.24,0.04,-19.28,-0.52,Stop Loss
39,BT_0038,2025-04-25,00:00:00,2025-04-26,00:00:00,SHORT,1993.27,1900.00,2100.00,1930.62,0.1000,54.77,0.04,54.73,1.50,Target
40,BT_0039,2025-04-28,00:00:00,2025-04-29,00:00:00,SHORT,2021.54,1900.00,2100.00,1999.94,0.1000,91.69,0.04,91.65,2.44,Target
41,BT_0040,2025-05-01,00:00:00,2025-05-02,00:00:00,SHORT,1830.59,1900.00,2100.00,1877.70,0.1000,-30.15,0.04,-30.19,-0.77,Stop Loss
42,BT_0041,2025-05-04,00:00:00,2025-05-05,00:00:00,SHORT,2234.85,1900.00,2100.00,2097.26,0.1000,45.84,0.04,45.80,1.18,Target
43,BT_0042,2025-05-07,00:00:00,2025-05-08,00:00:00,SHORT,2036.57,1900.00,2100.00,1792.32,0.1000,100.10,0.04,100.07,2.52,Target
44,BT_0043,2025-05-10,00:00:00,2025-05-11,00:00:00,SHORT,2020.54,1900.00,2100.00,2104.65,0.1000,-36.18,0.04,-36.22,-0.87,Stop Loss
45,BT_0044,2025-05-13,00:00:00,2025-05-14,00:00:00,SHORT,1998.92,1900.00,2100.00,1878.31,0.1000,-37.21,0.04,-37.25,-0.91,Stop Loss
46,BT_0045,2025-05-16,00:00:00,2025-05-17,00:00:00,LONG,1903.61,1900.00,2100.00,1994.27,0.1000,-32.39,0.04,-32.43,-0.81,Stop Loss
47,BT_0046,2025-05-19,00:00:00,2025-05-20,00:00:00,SHORT,1914.69,1900.00,2100.00,1922.05,0.1000,49.56,0.04,49.52,1.25,Target
48,BT_0047,2025-05-22,00:00:00,2025-05-23,00:00:00,LONG,2091.46,1900.00,2100.00,2028.99,0.1000,117.52,0.04,117.48,2.90,Target
49,BT_0048,2025-05-25,00:00:00,2025-05-26,00:00:00,LONG,2125.25,1900.00,2100.00,1998.66,0.1000,-28.62,0.04,-28.66,-0.67,Stop Loss
50,BT_0049,2025-05-28,00:00:00,2025-05-29,00:00:00,LONG,1999.17,1900.00,2100.00,2095.85,0.1000,80.28,0.04,80.23,1.90,Target
51,BT_0050,2025-05-31,00:00:00,2025-06-01,00:00:00,LONG,2129.00,1900.00,2100.00,1983.66,0.1000,-28.29,0.04,-28.34,-0.64,Stop Loss
52,BT_0051,2025-06-03,00:00:00,2025-06-04,00:00:00,SHORT,2091.06,1900.00,2100.00,1920.33,0.1000,-39.00,0.04,-39.04,-0.90,Stop Loss
53,BT_0052,2025-06-06,00:00:00,2025-06-07,00:00:00,SHORT,2057.88,1900.00,2100.00,2020.73,0.1000,104.49,0.04,104.45,2.45,Target
54,BT_0053,2025-06-09,00:00:00,2025-06-10,00:00:00,SHORT,2036.36,1900.00,2100.00,1994.31,0.1000,-30.35,0.04,-30.39,-0.68,Stop Loss
55,BT_0054,2025-06-12,00:00:00,2025-06-13,00:00:00,LONG,1855.20,1900.00,2100.00,1929.37,0.1000,83.94,0.04,83.90,1.91,Target
56,BT_0055,2025-06-15,00:00:00,2025-06-16,00:00:00,LONG,1971.49,1900.00,2100.00,2004.89,0.1000,-27.98,0.05,-28.03,-0.61,Stop Loss
57,BT_0056,2025-06-18,00:00:00,2025-06-19,00:00:00,LONG,1939.73,1900.00,2100.00,2019.79,0.1000,-25.63,0.05,-25.68,-0.57,Stop Loss
58,BT_0057,2025-06-21,00:00:00,2025-06-22,00:00:00,SHORT,1995.91,1900.00,2100.00,2136.24,0.1000,-25.40,0.04,-25.44,-0.57,Stop Loss
59,BT_0058,2025-06-24,00:00:00,2025-06-25,00:00:00,SHORT,1882.03,1900.00,2100.00,1761.72,0.1000,115.69,0.04,115.65,2.62,Target
60,BT_0059,2025-06-27,00:00:00,2025-06-28,00:00:00,SHORT,2082.30,1900.00,2100.00,1963.11,0.1000,66.85,0.05,66.81,1.44,Target
61,BT_0060,2025-06-30,00:00:00,2025-07-01,00:00:00,LONG,1977.15,1900.00,2100.00,2178.20,0.1000,120.88,0.05,120.83,2.53,Target
62,BT_0061,2025-07-03,00:00:00,2025-07-04,00:00:00,SHORT,2156.97,1900.00,2100.00,1993.13,0.1000,147.01,0.05,146.96,2.93,Target
63,BT_0062,2025-07-06,00:00:00,2025-07-07,00:00:00,LONG,1910.72,1900.00,2100.00,2024.58,0.1000,-30.52,0.05,-30.58,-0.57,Stop Loss
64,BT_0063,2025-07-09,00:00:00,2025-07-10,00:00:00,SHORT,2089.76,1900.00,2100.00,1974.12,0.1000,-47.27,0.05,-47.33,-0.90,Stop Loss
65,BT_0064,2025-07-12,00:00:00,2025-07-13,00:00:00,LONG,1943.08,1900.00,2100.00,2026.49,0.1000,-35.97,0.05,-36.03,-0.70,Stop Loss
66,BT_0065,2025-07-15,00:00:00,2025-07-16,00:00:00,SHORT,1998.83,1900.00,2100.00,1924.66,0.1000,62.61,0.05,62.55,1.23,Target
67,BT_0066,2025-07-18,00:00:00,2025-07-19,00:00:00,LONG,1864.50,1900.00,2100.00,1994.97,0.1000,132.69,0.05,132.63,2.55,Target
68,BT_0067,2025-07-21,00:00:00,2025-07-22,00:00:00,LONG,1980.61,1900.00,2100.00,1979.82,0.1000,-49.63,0.05,-49.69,-0.91,Stop Loss
69,BT_0068,2025-07-24,00:00:00,2025-07-25,00:00:00,LONG,2025.60,1900.00,2100.00,2031.50,0.1000,102.59,0.05,102.53,1.91,Target
70,BT_0069,2025-07-27,00:00:00,2025-07-28,00:00:00,SHORT,1846.88,1900.00,2100.00,2149.05,0.1000,100.08,0.06,100.03,1.79,Target
71,BT_0070,2025-07-30,00:00:00,2025-07-31,00:00:00,SHORT,2085.97,1900.00,2100.00,2201.01,0.1000,-50.34,0.06,-50.40,-0.87,Stop Loss
72,BT_0071,2025-08-02,00:00:00,2025-08-03,00:00:00,LONG,1990.19,1900.00,2100.00,2063.82,0.1000,-55.93,0.06,-55.99,-0.98,Stop Loss
73,BT_0072,2025-08-05,00:00:00,2025-08-06,00:00:00,SHORT,2143.42,1900.00,2100.00,2062.59,0.1000,-29.93,0.06,-29.98,-0.54,Stop Loss
74,BT_0073,2025-08-08,00:00:00,2025-08-09,00:00:00,LONG,2044.71,1900.00,2100.00,1876.12,0.1000,-28.42,0.06,-28.47,-0.52,Stop Loss
75,BT_0074,2025-08-11,00:00:00,2025-08-12,00:00:00,LONG,1917.94,1900.00,2100.00,1922.28,0.1000,-54.05,0.05,-54.10,-0.99,Stop Loss
76,BT_0075,2025-08-14,00:00:00,2025-08-15,00:00:00,LONG,1962.26,1900.00,2100.00,2008.33,0.1000,-36.53,0.05,-36.58,-0.68,Stop Loss
77,BT_0076,2025-08-17,00:00:00,2025-08-18,00:00:00,SHORT,2072.22,1900.00,2100.00,2082.44,0.1000,79.25,0.05,79.20,1.50,Target
78,BT_0077,2025-08-20,00:00:00,2025-08-21,00:00:00,SHORT,2152.68,1900.00,2100.00,2020.79,0.1000,157.60,0.05,157.55,2.90,Target
79,BT_0078,2025-08-23,00:00:00,2025-08-24,00:00:00,LONG,2018.50,1900.00,2100.00,2084.05,0.1000,-41.28,0.06,-41.33,-0.72,Stop Loss
80,BT_0079,2025-08-26,00:00:00,2025-08-27,00:00:00,SHORT,1985.29,1900.00,2100.00,1894.16,0.1000,-33.24,0.06,-33.29,-0.59,Stop Loss
81,BT_0080,2025-08-29,00:00:00,2025-08-30,00:00:00,SHORT,2103.14,1900.00,2100.00,2112.98,0.1000,-54.78,0.06,-54.84,-0.98,Stop Loss
82,BT_0081,2025-09-01,00:00:00,2025-09-02,00:00:00,SHORT,1651.34,1900.00,2100.00,1943.12,0.1000,60.78,0.05,60.72,1.11,Target
83,BT_0082,2025-09-04,00:00:00,2025-09-05,00:00:00,LONG,1864.07,1900.00,2100.00,1991.47,0.1000,130.90,0.06,130.85,2.33,Target
84,BT_0083,2025-09-07,00:00:00,2025-09-08,00:00:00,LONG,2070.56,1900.00,2100.00,2034.60,0.1000,-58.61,0.06,-58.67,-1.00,Stop Loss
85,BT_0084,2025-09-10,00:00:00,2025-09-11,00:00:00,LONG,2220.67,1900.00,2100.00,2091.20,0.1000,170.99,0.06,170.93,2.97,Target
86,BT_0085,2025-09-13,00:00:00,2025-09-14,00:00:00,LONG,1961.36,1900.00,2100.00,1902.76,0.1000,159.58,0.06,159.52,2.62,Target
87,BT_0086,2025-09-16,00:00:00,2025-09-17,00:00:00,SHORT,2022.69,1900.00,2100.00,2010.90,0.1000,122.24,0.06,122.18,1.91,Target
88,BT_0087,2025-09-19,00:00:00,2025-09-20,00:00:00,LONG,2092.22,1900.00,2100.00,2001.56,0.1000,133.26,0.07,133.19,2.00,Target
89,BT_0088,2025-09-22,00:00:00,2025-09-23,00:00:00,SHORT,1965.75,1900.00,2100.00,2010.06,0.1000,180.55,0.07,180.48,2.61,Target
90,BT_0089,2025-09-25,00:00:00,2025-09-26,00:00:00,LONG,1934.67,1900.00,2100.00,2075.95,0.1000,-56.87,0.07,-56.95,-0.78,Stop Loss
91,BT_0090,2025-09-28,00:00:00,2025-09-29,00:00:00,LONG,2085.15,1900.00,2100.00,2014.68,0.1000,-53.39,0.07,-53.47,-0.74,Stop Loss
92,BT_0091,2025-10-01,00:00:00,2025-10-02,00:00:00,LONG,1928.71,1900.00,2100.00,2039.78,0.1000,99.20,0.07,99.13,1.40,Target
93,BT_0092,2025-10-04,00:00:00,2025-10-05,00:00:00,SHORT,2019.90,1900.00,2100.00,1877.06,0.1000,177.77,0.07,177.70,2.45,Target
94,BT_0093,2025-10-07,00:00:00,2025-10-08,00:00:00,SHORT,1951.32,1900.00,2100.00,2113.34,0.1000,92.17,0.08,92.09,1.21,Target
95,BT_0094,2025-10-10,00:00:00,2025-10-11,00:00:00,SHORT,1870.79,1900.00,2100.00,2052.30,0.1000,159.75,0.08,159.67,2.05,Target
96,BT_0095,2025-10-13,00:00:00,2025-10-14,00:00:00,LONG,2164.63,1900.00,2100.00,1918.22,0.1000,-54.88,0.08,-54.96,-0.68,Stop Loss
97,BT_0096,2025-10-16,00:00:00,2025-10-17,00:00:00,LONG,2027.54,1900.00,2100.00,1928.46,0.1000,-53.56,0.08,-53.64,-0.67,Stop Loss
98,BT_0097,2025-10-19,00:00:00,2025-10-20,00:00:00,LONG,1984.62,1900.00,2100.00,1929.77,0.1000,199.30,0.08,199.23,2.52,Target
99,BT_0098,2025-10-22,00:00:00,2025-10-23,00:00:00,SHORT,2058.93,1900.00,2100.00,2162.22,0.1000,201.69,0.08,201.61,2.43,Target
100,BT_0099,2025-10-25,00:00:00,2025-10-26,00:00:00,SHORT,2015.48,1900.00,2100.00,1978.70,0.1000,195.91,0.09,195.82,2.25,Target
